"BehaviorSpace results (NetLogo 6.0.1)"
"ModelAgents-BlanchLopezMingo.nlogo"
"Experiment1 (350, 4.0)"
"06/13/2017 19:59:06:911 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","3"
"[run number]","max-capacity","train-frequency-exponential","[step]","mean-waiting-time / ticks-per-minute"
"161","350","4","4501","7.832403417996288"
"162","350","4","4501","3.216611987779351"
"163","350","4","4501","7.562177931619196"
"166","350","4","4501","3.697557222023476"
"168","350","4","4501","3.989154544557701"
"167","350","4","4501","4.630720863662386"
"169","350","4","4501","6.323181731785639"
"170","350","4","4501","4.168399577512606"
"171","350","4","4501","3.273258806807268"
"172","350","4","4501","2.725522955927449"
"174","350","4","4501","3.1746919515846033"
"175","350","4","4501","2.9536462051688104"
"173","350","4","4501","3.822471003530005"
"176","350","4","4501","11.671769353172719"
"177","350","4","4501","3.4519065933344715"
"179","350","4","4501","3.6158097747887146"
"178","350","4","4501","5.558614409858274"
"180","350","4","4501","3.695164314052968"
"181","350","4","4501","4.919966545522945"
"182","350","4","4501","3.840667909868894"
"185","350","4","4501","4.363709580906113"
"184","350","4","4501","3.104615708713742"
"183","350","4","4501","3.4088286229432847"
"186","350","4","4501","3.3934218141769987"
"187","350","4","4501","3.2675115170946247"
"189","350","4","4501","3.5357653355450296"
"188","350","4","4501","4.498109647887563"
"191","350","4","4501","3.1448600167530425"
"190","350","4","4501","5.477643696728874"
"192","350","4","4501","3.3886195868871374"
"165","350","4","4501","2.9884541459847402"
"193","350","4","4501","4.612420230877834"
"194","350","4","4501","2.8634251166669342"
"196","350","4","4501","3.374345072023137"
"195","350","4","4501","4.086892045307945"
